t60_p, 0.00
t60_beta, 0.224
t60_starbeta,0.224***
t60_se, 0.019
t60_n,8339
t60_r2, 0.30
t60_f,  132.8
t70_p, 0.00
t70_beta, 0.221
t70_starbeta,0.221***
t70_se, 0.018
t70_n,9720
t70_r2, 0.30
t70_f,  150.9
t80_p, 0.00
t80_beta, 0.217
t80_starbeta,0.217***
t80_se, 0.017
t80_n,11099
t80_r2, 0.30
t80_f,  167.2
t90_p, 0.00
t90_beta, 0.214
t90_starbeta,0.214***
t90_se, 0.016
t90_n,12457
t90_r2, 0.29
t90_f,  181.4
t100_p, 0.00
t100_beta, 0.213
t100_starbeta,0.213***
t100_se, 0.015
t100_n,13871
t100_r2, 0.29
t100_f,  200.4
t110_p, 0.00
t110_beta, 0.215
t110_starbeta,0.215***
t110_se, 0.014
t110_n,15238
t110_r2, 0.29
t110_f,  223.6
